"analysis","comparisons","largest_absolute_percent_change","median_absolute_percent_change","comparisons_changing_null_direction"
"Exclude three month-zero RFS events",25,4.33757685367817,0,0
"Exclude Normal-like subtype",20,6.92765850854684,1.61494482263965,0
