molecular_subtype,participants,events,median_survival_years,lower_95_ci,upper_95_ci
Luminal A,700,378,15.55277777777775,14.025,16.486111111111082
Luminal B,475,315,10.25,9.308333333333334,11.608333333333334
HER2-enriched,224,157,8.880555555555583,7.466666666666666,11.869444444444417
Basal-like,209,115,10.905555555555582,6.9472222222222255,17.016666666666666
Normal-like,148,79,13.269444444444417,10.480555555555584,16.961111111111084
Claudin-low,215,94,18.263888888888918,16.175,19.780555555555583
