"group","participants","total_observed_person_years","median_followup_years","lower_95_ci","upper_95_ci"
"Overall",1960,18273.2194444444,12.95,12.4888888888889,13.6277777777777
"Luminal A",697,7249.34722222223,13.1444444444444,12.3055555555556,14.2388888888889
"Luminal B",469,3955.46944444444,12.7666666666667,11.7388888888889,13.6166666666667
"HER2-enriched",224,1839.74166666667,14.5666666666667,12.2,16.1333333333333
"Basal-like",209,1724.80555555556,12.9777777777778,12.125,15.1861111111111
"Normal-like",146,1342.85277777778,12.6916666666667,11.9305555555556,14.6361111111111
"Claudin-low",215,2161.00277777778,13.15,11.5777777777777,15.0472222222223
