"term","comparison","log_hazard_ratio","standard_error","hazard_ratio","lower_95_ci","upper_95_ci","z_statistic","p_value"
"molecular_subtypeLuminal B","Luminal B vs Luminal A",0.424697851396635,0.0970036379414461,1.52912832586837,1.26437030376868,1.84932644337144,4.37816416383264,1.19683188103644e-05
"molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.432476629424412,0.118296948550157,1.54106945919155,1.22215888259158,1.94319667588308,3.65585617148057,0.000256325046641566
"molecular_subtypeBasal-like","Basal-like vs Luminal A",0.22862871529218,0.130468859540732,1.2568752937913,0.973277973533946,1.62310824564023,1.75236233456002,0.0797115237539833
"molecular_subtypeNormal-like","Normal-like vs Luminal A",0.400025877450974,0.145088787928897,1.49186330276124,1.12261083878205,1.98257137490349,2.75711089162185,0.00583145715558288
"molecular_subtypeClaudin-low","Claudin-low vs Luminal A",-0.157366086863077,0.142373718328119,0.85439122015649,0.646350438949969,1.12939407648024,-1.10530292185251,0.269028352288482
