"molecular_subtype","participants","rfs_events","median_rfs_years","lower_95_ci","upper_95_ci"
"Luminal A",697,229,23.0777777777778,19.0194444444444,
"Luminal B",469,221,11.7916666666667,9.81388888888892,15.0611111111111
"HER2-enriched",224,116,9.08333333333333,6.16944444444444,16.8194444444444
"Basal-like",209,93,24.5638888888889,7.2,
"Normal-like",146,63,14.4083333333333,10.4805555555556,
"Claudin-low",215,68,,18.2222222222222,
