"alternative_boundary_year","comparison","final_3_5_early_hazard_ratio","final_3_5_late_hazard_ratio","alternative_early_hazard_ratio","alternative_late_hazard_ratio","final_late_to_early_ratio","alternative_late_to_early_ratio","final_time_pattern","alternative_time_pattern","time_pattern_agreement","early_null_direction_agreement","late_null_direction_agreement"
3,"Luminal B vs Luminal A",2.3192687031583,1.48698618506188,1.83656694426916,2.06541897419263,0.641144418944194,1.12460859683748,"Lower HR later","Higher HR later",FALSE,TRUE,TRUE
3,"HER2-enriched vs Luminal A",2.91704270925843,0.894815421558095,2.69268467484341,1.47925313850831,0.306754309327742,0.549359957490876,"Lower HR later","Lower HR later",TRUE,TRUE,FALSE
3,"Basal-like vs Luminal A",1.88014607400642,0.665329259356923,1.96433993361165,0.849805046157638,0.353871046806043,0.432616082184504,"Lower HR later","Lower HR later",TRUE,TRUE,TRUE
3,"Normal-like vs Luminal A",1.27809944766365,2.00446756162336,0.723419833568797,2.30425969788814,1.56831893268361,3.18523157779721,"Higher HR later","Higher HR later",TRUE,FALSE,TRUE
3,"Claudin-low vs Luminal A",0.665028514506704,0.802170563683174,0.609493852321607,0.835683603307702,1.206219802888,1.37111079976364,"Higher HR later","Higher HR later",TRUE,TRUE,TRUE
4,"Luminal B vs Luminal A",2.3192687031583,1.48698618506188,2.0698896269474,1.56744754726461,0.641144418944194,0.757261414743271,"Lower HR later","Lower HR later",TRUE,TRUE,TRUE
4,"HER2-enriched vs Luminal A",2.91704270925843,0.894815421558095,2.28654042226335,1.13575567009205,0.306754309327742,0.496713576122924,"Lower HR later","Lower HR later",TRUE,TRUE,FALSE
4,"Basal-like vs Luminal A",1.88014607400642,0.665329259356923,1.52807534288903,0.693653121215708,0.353871046806043,0.453939083857125,"Lower HR later","Lower HR later",TRUE,TRUE,TRUE
4,"Normal-like vs Luminal A",1.27809944766365,2.00446756162336,1.24570529749626,2.77832667383568,1.56831893268361,2.23032420221687,"Higher HR later","Higher HR later",TRUE,TRUE,TRUE
4,"Claudin-low vs Luminal A",0.665028514506704,0.802170563683174,0.821154944954774,0.416235565691307,1.206219802888,0.506890408745248,"Higher HR later","Lower HR later",FALSE,TRUE,TRUE
