"analysis","interval","term","comparison","sensitivity_hazard_ratio","sensitivity_lower_95_ci","sensitivity_upper_95_ci","sensitivity_p_value","primary_hazard_ratio","primary_lower_95_ci","primary_upper_95_ci","percent_change","absolute_percent_change"
"Exclude Normal-like subtype","0 to 2 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",2.47280666464576,1.57909636478158,3.87232403106842,7.60796812817718e-05,2.44246922727186,1.56228818078608,3.81853745009343,1.24208063852638,1.24208063852638
"Exclude Normal-like subtype","0 to 2 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",3.41035141250572,2.20095136202695,5.28430430469338,4.00366664610574e-08,3.39472611816594,2.1963475802031,5.24696797593956,0.460281442328081,0.460281442328081
"Exclude Normal-like subtype","0 to 2 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",1.944775027102,1.17289592209455,3.22462533528587,0.00993487846668599,1.93005435100319,1.16565261809058,3.19572893331493,0.762707852820443,0.762707852820443
"Exclude Normal-like subtype","2 to 3.5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",2.30609950889062,1.4954832557723,3.5561046400076,0.000156082711826856,2.3192687031583,1.50633742883738,3.5709179195004,-0.567816667803245,0.567816667803245
"Exclude Normal-like subtype","2 to 3.5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",2.82884556286577,1.72274117108352,4.6451361080041,3.96549380611513e-05,2.91704270925843,1.78076287084297,4.77836679265992,-3.02351234394791,3.02351234394791
"Exclude Normal-like subtype","2 to 3.5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",1.80449525906494,1.00992590357979,3.22420004125637,0.0462266942924943,1.88014607400642,1.05594793538817,3.34765488063793,-4.02366688351369,4.02366688351369
"Exclude Normal-like subtype","2 to 3.5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.648026128742647,0.297240754298065,1.41278696632589,0.275291525387874,0.665028514506704,0.305364353577916,1.44831222087665,-2.55664011289334,2.55664011289334
"Exclude Normal-like subtype","3.5 to 5 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.46860450627478,0.845395375187893,2.55123136363412,0.172595199110296,1.48698618506188,0.858459466060384,2.57569285677765,-1.23617011185191,1.23617011185191
"Exclude Normal-like subtype","3.5 to 5 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.914871916497996,0.407624980065194,2.05333496358062,0.829221015083649,0.894815421558095,0.39894269644118,2.00704172754857,2.24141140806204,2.24141140806204
"Exclude Normal-like subtype","3.5 to 5 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.711420998402615,0.282927206201738,1.78886945431218,0.469220350523008,0.665329259356923,0.264829765973105,1.67150026255503,6.92765850854684,6.92765850854684
"Exclude Normal-like subtype","3.5 to 5 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.811115893415747,0.362087733727022,1.81698779403453,0.61093784661688,0.802170563683174,0.358694419123506,1.79394375527827,1.11514061192928,1.11514061192928
"Exclude Normal-like subtype","5 to 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.62664300488582,1.12679336488087,2.34822776545522,0.00939752799015564,1.6057911042098,1.11334248377839,2.31605737491339,1.2985437907431,1.2985437907431
"Exclude Normal-like subtype","5 to 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",1.49257922302627,0.913220249115267,2.43949117331553,0.110085986939552,1.45514148346894,0.891581452529691,2.374922370698,2.57279034256428,2.57279034256428
"Exclude Normal-like subtype","5 to 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.33667479894815,0.133716800125131,0.847686454811251,0.0208490790133812,0.330421069778079,0.131451396911411,0.830558563229783,1.89265447698954,1.89265447698954
"Exclude Normal-like subtype","5 to 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.718047587904472,0.389223864263842,1.32466784756529,0.289104403093493,0.70857230978526,0.384709368368806,1.30507536201484,1.33723516828976,1.33723516828976
"Exclude Normal-like subtype","Beyond 10 years","molecular_subtypeLuminal B","Luminal B vs Luminal A",1.04163030576231,0.660230676105303,1.64335547127687,0.860822118061187,1.05099970227809,0.667044329637333,1.65596246772564,-0.891474706936135,0.891474706936135
"Exclude Normal-like subtype","Beyond 10 years","molecular_subtypeHER2-enriched","HER2-enriched vs Luminal A",0.42921228682998,0.20321587053255,0.906539369602598,0.0266110425945661,0.43822707626382,0.207688836897583,0.924666791145047,-2.05710462043939,2.05710462043939
"Exclude Normal-like subtype","Beyond 10 years","molecular_subtypeBasal-like","Basal-like vs Luminal A",0.192578090884014,0.0674024325430643,0.550222294497112,0.00210261207378735,0.200034948297931,0.0704568714063912,0.567921619876611,-3.7277773095981,3.7277773095981
"Exclude Normal-like subtype","Beyond 10 years","molecular_subtypeClaudin-low","Claudin-low vs Luminal A",0.458010605836066,0.236781066274232,0.885939565857716,0.0203549523030463,0.473093499322437,0.245926188129162,0.910100143477188,-3.18814219767822,3.18814219767822
