"analysis","interval","participants_at_risk","rfs_events","clinical_parameters","extended_parameters","likelihood_ratio_chisq","degrees_of_freedom","p_value"
"2-to-5-year midpoint split","2 to 3.5 years",1678,162,5,10,33.41286135625,5,3.11573050440478e-06
"2-to-5-year midpoint split","3.5 to 5 years",1476,87,5,10,8.42095692635496,5,0.134511228144609
