"analysis","interval","comparison","primary_hazard_ratio","primary_lower_95_ci","primary_upper_95_ci","sensitivity_hazard_ratio","sensitivity_lower_95_ci","sensitivity_upper_95_ci","sensitivity_p_value","percent_hazard_ratio_change","absolute_percent_change"
"Age-stratified sensitivity","5 to 10 years","Luminal B vs Luminal A",1.6057911042098,1.11334248377839,2.31605737491339,1.58543489616752,1.09523617749662,2.29503358420013,0.0146063336761585,-1.26767472985186,1.26767472985186
"Age-stratified sensitivity","5 to 10 years","HER2-enriched vs Luminal A",1.45514148346894,0.891581452529691,2.374922370698,1.45171130676803,0.888015562450795,2.37323061364131,0.137182011347823,-0.235728053929927,0.235728053929927
"Age-stratified sensitivity","5 to 10 years","Basal-like vs Luminal A",0.330421069778079,0.131451396911411,0.830558563229783,0.342603033685391,0.136150186728082,0.862112946821419,0.0229008419965138,3.68679997177377,3.68679997177377
"Age-stratified sensitivity","5 to 10 years","Normal-like vs Luminal A",1.73960128049313,1.01764721050745,2.97373449644135,1.79135041979454,1.03863184655992,3.08958014057289,0.036058995760842,2.97477013162173,2.97477013162173
"Age-stratified sensitivity","5 to 10 years","Claudin-low vs Luminal A",0.70857230978526,0.384709368368806,1.30507536201484,0.6963863056568,0.375652572552815,1.29096383770444,0.250552080531595,-1.71979683091949,1.71979683091949
